OBJECTID,IN_FID,NEAR_FID,NEAR_DIST,NEAR_RANK
0,1,27450,5540.315677,57
0,1,46380,5540.315677,58
0,1,50248,5540.315677,58
0,1,62292,5553.370608,59
0,1,118057,5619.357413,60
0,1,122213,5619.357413,60
0,1,126485,5619.357413,60
0,1,10683,5647.35738,61
0,1,15253,5647.35738,61
0,1,19518,5647.35738,61
0,1,23555,5647.35738,61
0,1,105785,5667.580861,62
0,1,110241,5667.580861,62
0,1,114211,5667.580861,62
0,1,27531,5705.772687,63
0,1,31279,5705.772687,63
0,1,35172,5705.772687,63
0,1,10592,5744.83675,64
0,1,58112,5754.528977,65
0,1,62384,5754.528977,65
0,1,66851,5754.528977,65
0,1,71242,5754.528977,65
0,1,92239,5754.528977,65
0,1,75522,5754.528978,66
0,1,92250,5766.673878,67
0,1,96725,5766.673878,67
0,1,101266,5766.673878,67
0,1,1835,5782.32843,68
0,1,54114,5782.32843,68
0,1,96716,5782.32843,68
0,1,101257,5782.32843,68
0,1,6162,5782.32843,69
0,1,39076,5782.32843,69
0,1,42670,5782.32843,69
0,1,46437,5782.32843,69
0,1,50307,5782.32843,69
0,1,79536,5820.690084,70
0,1,83676,5820.690084,70
0,1,87963,5820.690084,70
0,1,35108,5822.906168,71
0,1,39007,5822.906168,71
0,1,23477,5847.406634,72
0,1,27455,5847.406634,72
0,1,31213,5847.406634,72
0,1,54053,5855.781223,73
0,1,58030,5855.781223,73
0,1,23473,5890.46543,74
0,1,27451,5890.46543,74
0,1,15302,5903.950058,75
0,1,19568,5903.950058,75
0,1,1743,5915.09412,76
0,1,15177,5915.09412,76
0,1,19446,5915.09412,76
0,1,31208,5915.09412,76
0,1,35103,5915.09412,76
0,1,39008,5915.09412,76
0,1,83574,6087.468709,77
0,1,87870,6087.468709,77
0,1,15172,6087.468709,78
0,1,19443,6087.468709,78
0,1,23469,6087.468709,78
0,1,27448,6087.468709,78
0,1,31206,6087.468709,78
0,1,35101,6087.468709,78
0,1,39001,6087.468709,78
0,1,42606,6087.468709,78
0,1,58025,6087.468709,78
0,1,62282,6087.468709,78
0,1,87874,6092.510642,79
0,1,92145,6092.510642,79
0,1,96625,6092.510643,80
0,1,101163,6092.510643,80
0,1,105690,6092.510643,80
0,1,15175,6099.546447,81
0,1,19448,6099.546447,81
0,1,23475,6099.546447,81
0,1,27452,6099.546447,82
0,1,31211,6099.546447,82
0,1,35104,6099.546447,82
0,1,92138,6105.678352,83
0,1,96616,6105.678352,83
0,1,71121,6112.651797,84
0,1,75412,6112.651797,84
0,1,83578,6124.079011,85
0,1,1886,6207.086051,86
0,1,58016,6211.524056,87
0,1,1718,6211.524056,88
0,1,6047,6211.524056,88
0,1,62272,6222.180645,89
0,1,66739,6222.180645,89
0,1,46384,6229.961056,90
0,1,50251,6229.961056,90
0,1,10581,6232.960708,91
0,1,75430,6248.387746,92
